City,Place,Relevant Review
Delhi,Chandni Chowk,chandni chowk delhi place market food old shopping visit rickshaw street shops crowded red people fort streets area good experience masjid metro narrow india like best famous gurudwara great time shop clothes busy ride want indian walk buy real really lot traffic lots things places bargain amazing cheap oldest visited local way life took worth love variety try different guide small eat price items tour enjoy dirty day mosque nice feel taste city walking prices going tuk selling need traditional went new stalls mughal available books near heart crowd visiting world station eating thing road interesting make stuff crowds little
Delhi,Connaught Place,place connaught delhi shopping shops restaurants good brands visit metro food market area great shop best new nice time heart street people lots chowk stores central lot places park like india inner british eating walk eat old centre city big buildings want hang indian friends options local station architecture really available crowded famous hangout restaurant eateries located evening center huge known day business busy love clothes enjoy high commercial beautiful amazing spend happening middle visited hotels tourist things family cheap international expensive worth prices buy walking tuk experience bargain western visiting variety mall modern near easily called went different hotel
Delhi,Delhi Airport Metro Express,airport metro delhi station express new time way reach travel best railway fast service traffic clean comfortable train good city line minutes international stadium trains cheap transport connaught experience ride great option takes journey easy travelling check use mins world class taxi really like india place facility crowded took save rs quick excellent want ticket better central air avoid catch nice min lot cost safe used bus gandhi neat people route price free money road need available maintained hours quite going hotel centre space services bit compared lines hour expensive rupees chowk easily connected near super reasonable amazing rush times
Delhi,Friday Mosque (Jama Masjid),mosque masjid delhi place visit shoes old red jahan india camera shah largest mughal architecture beautiful people entrance built chowk chandni fort pay great fee wear visited inside worth emperor rupees time area women impressive sandstone enter view nice charge outside cover free building entry good huge experience crowded large climb steps visiting interesting tour biggest need structure went pray walk really amazing history allowed big views metro tourists guide located like want streets market city tower rickshaw rs tourist marble religious worship taj gate money quite cameras covered day ladies mahal open pictures long monument site leave way busy
Delhi,Gurudwara Bangla Sahib,gurudwara place sikh sahib bangla delhi visit temple peace people beautiful peaceful holy connaught religion time religious feel prasad worship food experience free visited inside good nice clean best day spiritual great visiting amazing calm head shoes mind really heart like divine god located love sit cover near new metro ji serene devotees faith water places inner went parking come atmosphere blessings worth chowk city india lot welcome pool thousands service awesome lake enter night huge gives area big spend going morning need make tour family guide architecture served maintained feeling positive history hours walk visitors building singh situated pray
Delhi,Hauz Khas Village,place village delhi restaurants lake shops good visit nice ruins great park food area shopping time friends like places night old lots best fort beautiful enjoy lot walk really little evening day people hangout amazing monuments young restaurant visited small cafe interesting art tomb historical modern spend crowd new green quite shop couples hang eat fun tombs stores worth city cool lovely view indian metro south eateries music love india street happening different crowded went history feel water options eating awesome monument experience parking market variety walking expensive dinner times atmosphere mosque want afternoon clothes life buildings streets relax perfect
Delhi,Humayun's Tomb,tomb humayun taj delhi place mahal visit beautiful architecture mughal gardens monument history tombs worth site great grounds nice building good time emperor india built garden red maintained guide visited really agra heritage peaceful like buildings walk amazing historical monuments interesting visiting lovely impressive sandstone unesco structure best complex day tour lot area world quite people inside new hours definitely design architectural wonderful went morning places main city marble early lawns crowded spend green indian clean stunning wife enjoyed quiet huge kept sites entrance enjoy old lots work large beauty surrounding magnificent similar preserved years big foreigners make example trip
Delhi,ISKCON Temple Delhi,iskcon nc iskconcomind fb communications hare krishna follow valuable visit office temple thanks time india place delhi lord beautiful best good nice temples aarti food restaurant devotees lotus visited peaceful peace spiritual clean great people metro new experience inside like architecture divine evening sri feel really prasadam atmosphere worship love located god religious maintained amazing world parking hindu big prasad dance lot day near mind darshan mandir shows year enjoy lovely sound station awesome went light spend worth family beautifully visiting main huge music happy dedicated morning delicious complex quite free wonderful premises times area built pure interesting excellent life
Delhi,India Gate,gate india place soldiers delhi war visit monument memorial time nice indian good people evening great night beautiful family day area walk world best picnic worth visited enjoy new like british crowded vendors really lots park lot structure lives friends view street built impressive food lawns hawkers feel proud history visiting gardens spend near country pride went memory families boating historical photo amazing tourist spot located locals busy tourists kids city stop local morning sell road experience huge metro close green selling quite heart pictures children come indians lovely photos national evenings buildings lost big times look house life looks
Delhi,Lodhi Garden,gardens delhi garden place tombs park beautiful walk nice visit monuments morning green great good birds time picnic tomb lovely maintained trees people city peaceful buildings ruins flowers day walking old stroll evening couples family lots enjoy best really greenery relax lush quiet historical walks new history lake worth spend area clean early visited lot nature like relaxing interesting families plants lawns india free mughal middle large restaurant huge friends quite ancient mosque bustle spot peace away love afternoon hustle big architecture amazing space busy locals come kept historic wonderful went perfect places market heart sit crowded inside enjoying enjoyed
Delhi,Lotus Temple,temple lotus place delhi inside visit beautiful architecture peaceful religion peace building gardens time nice worship good faith people like outside worth structure long flower really great visited hall garden metro shoes pray sit walk house calm maintained quite amazing quiet grounds queue architectural line visiting feel day free enter experience serene india modern religious looks clean design new built lovely best went marble huge green white interesting surrounded crowded city beauty big allowed temples mind open unique want spend visitors impressive lot world wonderful entry spiritual monument area god tourist need station way going queues stunning look view lawns
Delhi,Qutub Minar,minar qutub delhi place qutab visit tower history pillar monument site ruins architecture good historical time beautiful great india guide worth nice metro complex amazing built monuments mosque interesting heritage world visited tall old unesco really structure maintained hindu ancient lot best visiting mughal years like day sandstone area buildings tour impressive structures people carvings red historic family stone places new indian lots quite century spend grounds ticket architectural tourist gardens station building clean walk inside enjoy attraction went audio make sites city temples hours wonderful early entry surrounding crowded th tombs tomb pictures definitely long preserved enjoyed experience friends
Delhi,Rashtrapati Bhavan,place india visit delhi building gate mughal gardens beautiful architecture garden inside british palace house time great tour security good area view open outside indian buildings public amazing allowed worth nice new visited best home huge book walk like really structure day visiting rooms built government guided clean maintained look world majestic history near grand gates experience located largest proud looks drive people architectural magnificent guide awesome designed hall pride museum country need roads entry got flowers close impressive seen feel office hill beauty south wonderful lawns road big year went visitors north places month night head enter complex th
Delhi,Red Fort (Lal Quila),fort red delhi place visit mughal history inside india agra time guide buildings architecture chandni good great chowk worth beautiful jahan historical impressive day shah emperor old built nice audio sound light visited monument really lot forts huge museum indian site outside amazing sandstone gardens walk walls interesting tour like maintained area entrance best big museums market heritage mahal visiting gate better ticket masjid building british hours grounds metro people long went structure palace going quite places historic experience need tourist lots complex years city taj large attraction new little rupees foreigners evening unesco monuments stone main entry walking recommend
Delhi,Swaminarayan Akshardham,temple akshardham place delhi visit beautiful architecture boat fountain good inside amazing time metro allowed cameras light great security evening india day best hindu water food musical nice worth really visited complex huge ride experience like shows mobile carvings sound indian camera new hours clean family temples built religious modern spiritual movie culture history visiting world peaceful beauty yamuna maintained spend art awesome long enjoy miss life lot need seen people station excellent watch big gardens work peace bags free went wonderful architectural area leave mandir main tour feel sculptures religion things entry structure building ancient queue attraction stone thing
Agra,Agra Fort,fort agra taj mahal visit guide place history red beautiful architecture great mughal worth view good jahan time shah interesting amazing views tour india delhi really forts visited nice built river visiting sandstone huge impressive lot yamuna day marble palace inside buildings like site historical monument emperor best building hours palaces guides recommend better lots story walls gardens went audio make structure big wonderful experience maintained indian stories trip preserved people walk quite different enjoyed area stunning light definitely need large rooms used stone hire places sure city unesco seen know seeing sound son heritage magnificent massive open miss years
Agra,Anguri Bagh,agra garden fort place beautiful inside mahal gardens mughal nice jahan shah used maintained area fountain queens visit emperor red marble palace built time royal ladies flowers guide sandstone good private buildings like taj king green complex look enjoy view design really great located plants palaces greenery fountains looks walk known situated worth history water middle tour watch lovely big surrounded family different architecture relax era building white women kings right rooms way loved designed structure historical preserved site nicely making called large definitely times need make small love lot day better best views build imagine rich heat wow pictures
Agra,Dayal Bagh,temple place construction agra marble taj visit carvings work years beautiful good building architecture time stone mahal intricate art going great white structure worth people nice built monument complete like garden memorial religious famous visited faith wonderful sahib area city constructed peaceful piece long huge better said cameras carved hindu beauty seen yamuna really quite know day amazing worship complex believe religion closed hand dedicated ji holy inside world away lots pillar peace wonder second road till looks taking known visitors situated far architectural times look located india clean attraction small best stunning magnificent spiritual mughal lord culture working change
Agra,Diwan-i-Am Agra Fort,agra fort place emperor mughal public hall king used architecture people visit inside court beautiful taj guide red history building mahal nice tour marble view jahan time good kings shah located amazing gardens built impressive interesting complex sit buildings area local open structure walls maintained visited worth site space sandstone great hear use looking photo royal quite like light man grand lawns engineering kingdom sound massive stunning walk large seen lovely huge big historic way come intricate places lot room vast fabulous preserved sense heard marvel kept enter structures beauty work known location took architectural excellent days awesome white thing
Agra,Jahangir Mahal,agra fort mahal palace red place sandstone inside architecture built mughal emperor used jahan visit taj building good beautiful structure stone located yamuna history royal guide women great marble big son worth really monument king huge like impressive entering site water magnificent situated right nice complex tour entrance enter carvings view called maintained interesting visiting amazing queen palaces garden walk area buildings places mosque river style gate hindu shah major gardens queens stay outside look indian famous thing attraction enjoy city rooms build constructed lawns size example windows single pictures beautifully usually eyes means carved preserved things able main long
Agra,Jama Masjid,mosque masjid agra place visit fort delhi red architecture india beautiful shoes jahan worth built mughal nice taj largest great old good time inside shah sandstone people like history entrance mahal visiting area tomb worship visited camera building market look interesting really pray opposite site emperor outside guide amazing crowded tour monument known historical chandni climb walk way experience large day wear view located pay city best palace impressive went peaceful huge architectural seeing religious photos near lot fee views holy chowk allowed want big cover women places enjoy better gate hot charge guides enter dirty buildings marble long leave
Agra,Jawab Masjid,taj mahal mosque masjid red beautiful building inside sandstone architecture complex place agra visit stone built mughal time left buildings good worth monument structure great located nice marble pray right amazing white main pictures visiting view like site holy photos used people history guide design worship beauty look interesting area way visited really shoes stunning tour guest india attraction day best peaceful jahan sunrise spiritual gets taking lot story style similar crowds piece tomb shah allowed superb house hand totally entry gorgeous minutes local walk monkeys think situated maintained lovely gives big away architectural outside makes famous wonderful thing iconic
Agra,Kalakriti Cultural & Convention Center,taj mahal agra story jahan good dance marble shah place love great music really visit live play beautiful nice musical history shows audio went worth cultural watch evening time like tickets experience english bit expensive best center mughal price excellent emperor amazing wife visiting indian built tour high seen got style little kingdom visited enjoy end art work ticket understand enjoyed guide group watching interesting india recommend prices superb entertainment sound shopping culture provided tell times wonderful way miss quite different day better collection building rs pm based tourists local came era light thing centre comfortable told pretty saw available
Agra,Mehtab Bagh,taj mahal river view yamuna garden place sunset gardens agra visit beautiful time great park nice views good worth best opposite sunrise visited sun evening bank day people different went really peaceful jahan shah site pictures visiting photos flowers trees enjoy maintained crowded lovely morning amazing want spot going afternoon located early walk crowds offers quiet built monument beauty gives photo way quite mughal look area marble rupees tuk fee crowd entrance like ruins wonderful banks late seeing fort closed come perfect guide pay bit lot better emperor picture build sit away excellent actually seen close tomb watch relax recommend
Agra,Mother Teresa's Missionaries of Charity,children mother place agra visit people work time care visited great experience love adults life kolkata kids amazing heart clothes went good home clean little help poor seeing tomb took want old small women india feel visiting really support spend come incredible stop came saw special make going like beautiful living church young taj month religious happy needs say bit world lovely peace trip need kind day god bring hello staff decided wanted food enter year welcome think spent got way sure know driver service opportunity run let live hard possible money house expect quiet truly tour felt taken museum
Agra,Sheesh Mahal,agra fort mahal place beautiful glass visit inside palace walls work shah amazing architecture guide taj room closed great time like jahan built worth mughal light history used stunning beauty good art located really hall marble look building india small public decorated structure outside visiting nice amber red best view miss lot tour design thousands queens wonderful incredible people rooms truly imagine lit intricate situated awesome different magnificent way royal places covered palaces details complex years interesting make era jaipur visited experience emperor seeing unesco open seen paintings special area views site wall water example fascinating entry story carvings historical
Agra,Taj Mahal,taj mahal visit agra place beautiful guide monument time sunrise world india amazing early wonders building love morning beauty visited marble worth wonder really experience best people day architecture great went tour good seen delhi trip pictures history crowds words photos like view gate white truly sunset stunning magnificent visiting inside say crowded yamuna jahan ticket breathtaking seven long wonderful structure make sun river story avoid shah built life queue seeing took got tickets tomb symbol site recommend sure need going gardens wife hours entrance nice years lot guides better absolutely breath queues security away times way come definitely busy
Agra,Taj Museum,taj museum mahal mughal visit history complex place paintings inside time small good collection worth agra display located great construction jahan era building ticket interesting free main used miss people nice like know jal artifacts emperor items love displays grounds seeing period things wonders gives india visiting visited lot shah hall entry situated really little pictures lovers monument exhibits minutes various western century world visitors old information historic sure quite different better wonder historical quick understand wife allowed price war west kept left tour view th easy real maintained times look family come attraction recommend day beautiful skip glimpse waste
Agra,Tomb of Itimad-ud-Daulah,taj mahal tomb agra visit place beautiful marble river yamuna monument jahan worth building architecture built work time nice mughal visited known good gardens small intricate fort really like called great people visiting guide peaceful crowded white little site quiet lovely emperor history structure tombs carvings inside amazing bank tourists stone impressive crowds stunning design grounds walls wife garden view seeing went sunset quite similar way shah tour beauty interesting red lot maintained day india wonderful visitors big details definitely enjoy paintings city art better look located tourist actually architectural make monkeys right banks miss monuments going recommend views far
Agra,Wildlife SOS,wildlife elephants elephant greetings thank agra visit support animals care dear time facility centre pleasure wonderful hello work helps taking words help experience kind place amazing great review india staff visited spread like tour people day trip really center good team life feedback spent visiting incredible guide love beautiful save taj stories thanks best learn recommend enjoyed happy went way delighted fantastic got week group lives forward mahal loved worth close informative guided looking delhi hope world short able hear need highly days walk hour know nice facilities opportunity years hours family sharing dedicated friendly truly heart lot interesting make
Bengaluru,Art of Living International Center,place sri visit bangalore art living good spiritual peace peaceful food center time experience beautiful nice calm city people international serene day road bengaluru best great mind visited centre course life like evening hall spend free nature feel amazing main stay love greenery family relax really lot bus visiting away worth located maintained world went positive huge places environment green atmosphere wonderful energy come lunch lotus enjoy area weekend inside tour inner home divine awesome available days clean walk way want times excellent quite far beauty learn lots big hours situated lush friends lake different perfect things activities devotees gives
Bengaluru,Bangalore Palace,palace bangalore audio place visit good history inside beautiful guide tour entry fee nice outside worth time maintained architecture camera ticket like rs visited high family paintings city royal entrance really interesting great building photos bengaluru palaces looks pictures garden expensive gardens grounds quite pay historical india lot fees small old indian people charge rooms bit king price visiting foreigners money guided experience look big places tickets inr built little better indians best amazing used tourist kings view style day heritage way things mobile person went know want seen museum visitors extra need cost trip property preserved huge compared guides
Bengaluru,Bannerghatta National Park,safari zoo animals park place national good bangalore visit bus kids elephants time white experience wildlife nice day family visited like city close great ride birds best maintained worth really lot went trip enjoy inside children better enjoyed weekend natural tickets nature small parks elephant long different vehicle took food big quite available spend seen amazing bengaluru queue friends ticket near people early variety area life saw attraction crowded open visiting seeing rs outing reach fun especially weekends kept love going awesome road got hour morning times tour drive far lots years main avoid huge want non away need feel
Bengaluru,Commercial Street,shopping street place bangalore commercial shops good clothes brands shop bargain visit best crowded parking market items stores great variety buy price streets cheap road area lot like food prices bengaluru time available local stuff shoes people things want places lots need walk nice options day reasonable city small ladies bags women vendors experience famous big really indian expensive quality looking selling love end busy non different wear stalls traffic restaurants wide times nagar eateries make narrow especially kind high weekends mall spend near worth little main old walking visited crowd oldest eat popular enjoy types thing sure roads india
