City,Place,Ratings,Distance,Place_desc
Ahmedabad, 1. Sabarmati Riverfront ,, 2 km  from city center ," Sabarmati Riverfront is a waterfront developed on the banks of river Sabarmati in Ahmedabad. Started with an objective for sustainable development and environmental improvement, the pace has now become a major tourist attraction owing to its lush green promenades, beautiful parks and plazas and an all-around soothing ambience. "
Ahmedabad, 2. Dada Hari Wav ,3.5, 4 km  from city center ," Built by a woman of Sultan Begara's harem in 1499AD, these step-wells were made as a retreat during hot summers. Waiting to be filled with rain water, no matter what the weather is, it is always cooler within the Step-wells. "
Ahmedabad, 3. Statue of Unity ,, 179 km  from city center ," Statue of Unity is a memorial to The Iron Man of India, Sardar Vallabhbhai Patel. The Bronze statue stands 182 metres tall and is the 'Tallest statue in the World'. The statue of Unity is located in Gujrat, by the banks of River Narmada on the River Island of Sadhu Bet overlooking the Narmada Dam (Sardar Sarovar Dam) from 3.2 km away. "
Ahmedabad, 4. Swaminarayan Temple ,4.3, 24 km  from city center ," Located in the Kalupur area of Ahmedabad, Shri Swaminarayan Temple was built on the instructions of Swaminarayan, the founder of this sect of Hinduism. Green and yellow sculptures of various Hindu gods and goddesses, with their bodies fitted in opulent dresses and ornaments cover the structure of this nineteenth-century temple.   "
Ahmedabad, 5. Sabarmati Ashram ,4.2, 3 km  from city center ," Once the residence of Mahatma Gandhi and his wife Kasturba, this undoubtedly is the biggest tourist attraction situated in the suburb of Ahmedabad, Gujarat. Located on the tranquil and serene stretch of Sabarmati River it was also referred to as the 'Satyagraha Ashram' as Gandhi began the famous 'Dandi March' from here.



The museum is one of the most interesting sections of the ashram as it has on display some of Gandhi's personal letters and photographs "
Ahmedabad, 6. Rani ki Vav ,, 101 km  from city center ," Rani Ki Vav or 'Queen's Stepwell' is a distinctive form of water storage system located in the small town of Gujarat called Patan, on the banks of River Saraswati. The 900-year-old structure listed as a UNESCO World Heritage Site is displayed prominently in the new ₹ 100 currency note issued by the Reserve Bank of India. "
Ahmedabad, 7. Adalaj Step Well ,3.0, 14 km  from city center ," Adalaj Stepwell is a magnificent structure built brilliantly to curb water crisis in and around Adalaj Village. The stepwell is located at a distance of 3 to 4 kilometres to the south-west of Gandhinagar, the capital city of Gujarat. The Adalaj Stepwell was built in 1498 and is one of the many step wells built in India to provide access to groundwater. The entire architecture is an excellent illustration of the intelligence of the engineers and architects India had even at that time. Walk in, and you will witness a sudden yet soothing drop in temperature. Breathe in the tranquillity, absorb the beauty of the intricate carvings, make a silent wish and rest for a while before you proceed with your plan for the day. "
Ahmedabad, 8. Kankaria Lake ,4.2, 5 km  from city center ," One of the biggest lakes in Ahmadabad, this is a total magnet for tourists and locals alike due to its complete entertainment facilities - toy train, kids' city, balloon ride, water park, food stalls.



Also famous for its Kankaria Carnival which is full of week-long fun and festivities held in the last week of December, it is an entertainment, fun and cultural hub. The lake and surroundings have been recently revamped and all its subparts (zoo, balvatika,etc.) are enhanced. "
Ahmedabad, 9. Manek Chawk ,3.7, 3 km  from city center ," Manek Chowk is a notable city square in Old Ahmedabad which is a vegetable market in the morning, a bullion market in the noon and the street food market at night. It is most famous, however, for its food stalls that start to emerge around 8 in the evening, with various local street snacks and goodies.  "
Ahmedabad, 10. Modhera Sun Temple ,, 74 km  from city center ," The Sun Temple in Modhera is a Hindu tempe built by the Chalukya dynasty. Built on the banks of river Pushpavati, the temple is dedicated to the solar deity Surya. It is now a historical site and no worshipped is performed at the temple. It is currently maintained by Archaeological Survey of India. "
Ahmedabad, 11. Bhadra Fort & Teen Darwaza ,3.1, 2 km  from city center , The Bhadra Fort and its neighboring environment is the most scenic part of Ahmedabad. Located in the middle of lush greenery the huge 44 acre Fort got its name from the Bhadrakali Temple that it houses. 
Ahmedabad, 12. Jama Masjid ,3.7, 3 km  from city center ," The Jama Masjid situated in Ahmedabad is one of the largest mosques in India built in the period of 1424 and was built by Emperor Sultan Ahmed Shah. To the west of the mosque built are the tombs of Ahmed Shah I, his son and his grandson followed by the graves of the queens of the king. "
Ahmedabad, 13. World Vintage Car Museum ,3.4, 12 km  from city center ," A connoisseur of vintage cars converted his private collection of vintage cars into a museum. The collection comprises of the best of the world - Rolls Royce, Bentley, Jaguar, Cadillac, Austin and many more. "
Ahmedabad, 14. Hathisingh Jain Temple ,3.5, 2 km  from city center ," Dedicated to the 15th Tirthankara of Jains, Dharmanath, this two-storied white marble structure provides a delightful experience and the tiled courtyard is another unique aspect of the temple. "
