City,Place,Ratings,Distance,Place_desc
Andaman, 1. Cellular Jail ,4.5, 12 km  from city center ," The Cellular Jail, also known as 'Kala Pani' is an old colonial prison situated in Port Blair, the capital of Andaman and Nicobar islands. Constructed by the Britishers during their colonial rule in India, the jail was used particularly to exile Indian political prisoners. It was used to house many notable freedom fighters such as Batukeshwar Dutt, Yogendra Shukla and Vinayak Damodar Savarkar.  "
Andaman, 2. Elephant Beach ,4.8, 43 km  from city center ," With its brilliant coral reefs and alluring cyan waters, the Elephant beach is one of the locations that add to the beach paradise reputation of the Andaman and Nicobar Islands. These waters are a prime destination for tourists wishing to engage in water sports like snorkelling, swimming, banana boat rides, speed boats and diving. There are two ways to reach Elephant Beach: Take a ferry from Havelock Jetty to Elephant Beach (1000 INR per person) or trek for half an hour with a guide (INR 500). The trek starts at a distance of 2km from Radhanagar Beach.  "
Andaman, 3. Neil Island ,4.4, 44 km  from city center ," Neil Island is a part of the South Andaman Administrative District and belongs to Ritchie’s Archipelago in the Bay of Bengal. A part of the massive ocean separates it from Ross Island and Havelock Island, Tourists visiting Havelock often make a day-long trip to Neil Island. Perhaps the most endearing feature of this island is its three sandy beaches, namely Bharatpur Beach, Sitapur Beach and Lakshmanpur Beach.   "
Andaman, 4. Radhanagar Beach ,4.6, 42 km  from city center ," Awarded with the title of 'Asia's Best Beach' by the TIMES magazine in 2004, Radhanagar Beach in Havelock Island with its turquoise blue waters and powdery white sands lives up to the moniker. Its vast shores of endless white grains stretch across 2 kilometres, making it a prime attraction of the Andaman and Nicobar Islands.  "
Andaman, 5. Baratang Island ,4.7, 54 km  from city center ," Baratang Island, also known as Ranchiwalas Island, is a beautiful little island in the North and Middle Andaman Administrative district and is situated about 100 kilometres away from Port Blair by road. The island is well-known for its mangroves, mud volcanoes (only ones in India) and limestone caves. However, you may need to take permission from the Forest Department at Baratang to explore these caves. "
Andaman, 6. Night Kayaking in Andaman ,, 6 out of 82  places to visit in Andaman ," The Andaman and Nicobar Islands’ mesmerising natural beauty, featuring lagoons, mangroves, beaches, flora and fauna, makes for a unique night kayaking experience. Havelock and Port Blair are famous for their night kayaking or bioluminescence tours through mangroves, small islets, lagoons and more. Under the guidance of expert instructors, people get a chance to experience nature a little differently; see its slightly eerie side.  "
Andaman, 7. Scuba Diving In Andaman ,4.4, 49 km  from city center ," Andaman and Nicobar Islands is a popular spot for scuba diving among tourists. Most popular island among all the islands for the dives however, is Havelock.



It is an ideal diving destination for everyone, right from a novice to an experienced diver. For non-certified amateur divers, charges start from about INR 3,500 for a 30 minute dive "
Andaman, 8. Mount Harriet National Park ,, 8 km  from city center ," Mount Harriet National Park is undoubtedly the most beautiful of the nine national parks housed on Andaman island. Located in Ferrargunj Tehsil of Port Blair, Mount Harriet is Andaman's third peak (365m) and the most easily accessible one. Spread over an area of  46.62sq km, the national park is home to several species of birds and animals. Due to its privileged elevated location, the park offers some astounding views of azure blues surrounding the island and fascinating sunset and sunrise experiences.  "
Andaman, 9. North Bay Island ,, 9 out of 82  places to visit in Andaman ," North Bay Island in Andaman is most preferred by tourists for its breathtaking coral reefs and exhilarating adventure activities. Interestingly, the picture of an island on the back of a 20 Rupee note is of North Bay Island. "
Andaman, 10. Bharatpur Beach ,, 42 km  from city center ," Located just half a kilometre from the jetty at Neil Island, Bharatpur Beach is a stunning shoreline famous for water sports like snorkelling, glass-bottom rides, and scuba diving other than beach exploration and sunbathing. The shore has shallow water with coral reefs. If you wish to spend some time away from the crowd then one can easily find a peaceful stretch at this place.  "
Andaman, 11. Water Sports in Andamans ,4.0, 11 km  from city center ," Water Sports in Andaman have been a major attraction for adventure seekers and water babies. Although the demand for water sports is fulfilled at various locations in Andaman, Water Sports Complex, located in Port Blair is popular for the variety and safety they offer. Whether it is swimming, snorkelling, scuba diving, fishing or just a boat ride, there is something to suit everyone’s desire. 
 "
Andaman, 12. Ross Island ,4.4, 13 km  from city center ," Located just 2 kilometres east of Port Blair is Ross Island (now known as Netaji Subhash Bose Island); an island which was once the administrative headquarters of the British, but today is only an uninhabited island. Following an earthquake that hit Ross Island in the year 1941, the British left the island and shifted their settlement to Port Blair.  "
Andaman, 13. Laxmanpur Beach 1 ,, 40 km  from city center ," Laxmanpur Beach 1, located on Neil Island is known for its beautiful sunset. The sunset point is located right next to the beach. Offering amazing views of the sunset, one can relax and enjoy the view being seated at the huts and benches by the shore. Reach 15 mins before the sunset to catch a spot. "
Andaman, 14. Laxmanpur Beach 2 ,, 39 km  from city center ," Located on Neil Island, Laxmanpur Beach is a long beach divided into two parts: Laxmanpur Beach I known for its mesmerising sunsets and Laxmanpur Beach II known for the two natural arch bridges or Howrah Bridge. The abundance of corals and marine life on the shores during the low tide is popular among visitors. Walking towards the natural arch bridge can be a bit tricky as you will have to walk over the dead corals, so it is highly recommended to wear proper footwear. You can also spot a myriad of marine life here.  "
