City,Place,Ratings,Distance,Place_desc
Bangalore, 1. Relax in Lal Bagh ,4.3, 8 km  from city center ," Lalbagh botanical garden is home to numerous birds and wildlife and has a lake. It is popular for flower shows conducted here during Republic Day and Independence Day week. There is also a bonsai garden, topiary garden, lotus garden and rose garden inside. "
Bangalore, 2. Church Street ,, 1 km  from city center ," About 750 m long, Church Street in Bangalore is one of the busiest and most beloved streets, named after St. Mark’s Cathedral. It is lined with gift shops, music shops, bookstores, restaurants and cafes, some of them being the oldest in the city, all selling a wide variety of products and tasty treats. There are days when artists set up shop out on the streets and sell their work that includes paintings, photo frames, posters and handmade items. There are arcades for children and adults to play at and tattoo parlours too. "
Bangalore, 3. Bannerghatta National Park ,4.3, 23 km  from city center ," Located 22 km away, the Bannerghatta National Park is a sanctuary for a large variety of flora and fauna. The main attractions here are an aquarium, a zoo, a Children's park, Crocodile Farm, Snake Park and a Prehistoric Animals' Park. It is also popular for hiking and trekking.

 "
Bangalore, 4. Bangalore Palace ,4.3, 3 km  from city center , The majestic Bangalore palace is a royal palace known for its architecture with beautiful carvings both inside and outside. It is owned by the Mysore Royal family. The sprawling grounds around the palace is ideal for a picnic. 
Bangalore, 5. Jog through Cubbon Park ,4.3, 1 km  from city center ," Cubbon Park is the most famous attraction in Bangalore. In addition to being a natural sightseeing destination, Attara Kacheri, Cubbon Park Museum, Bangalore Aquarium and Sheshadri Iyer Memorial Park are also situated here.  "
Bangalore, 6. ISKCON Temple ,3.8, 6 km  from city center ," ISKCON Bangalore is one of the largest Krishna Hindu temples in the world. The cultural complex accommodating dedicated deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda and Sri Prahlada Narasimha.  "
Bangalore, 7. Catch the Sunrise at Nandi Hills ,3.3, 45 km  from city center ," Nandi Hills is a scenic hill station situated close to Bangalore, serving as one of the most popular destinations for trekking of Karnataka and escaping the busy city life of Bangalore. "
Bangalore, 8. Be amused at the Wonder La Water Park ,3.5, 26 km  from city center ," Wonderla is the best amusement park in Bangalore. It houses water, roller coaster rides, a Ferris wheel and some VR experiences. "
Bangalore, 9. Tour the Innovative Film City ,3.7, 29 km  from city center ," Innovative Film City is an Indian movie theme park, popular for a day trip. It houses amusement park rides, museums, adventure sports among other things.  "
Bangalore, 10. Tipu Sultan's Summer Palace ,3.2, 3 km  from city center ," Tipu Sultan Palace was the summer residence of Tipu Sultan. It is now converted into a museum and is famous for its Indo-Islamic architecture consisting of ornamental frescoes, magnificent arches, protruding balconies and brilliant motifs. It is located inside the Bangalore Fort. "
Bangalore, 11. National Gallery Of Modern Art ,4.1, 2 km  from city center ," National Gallery of Modern Art is a two-storeyed museum based in a colonial-style residential building. It showcases the cultural ethos of India from periods as early as the 18th century. There is also a huge auditorium, a charming cafeteria, and a reference library here. "
Bangalore, 12. Shopping at Commercial Street ,3.7, 2 km  from city center ," Commercial Street is the oldest and busiest shopping place in Bangalore. It is famous for clothes, jewellery, electronics, footwear and local food joints. "
Bangalore, 13. Art of Living International Centre ,3.0, 19 km  from city center ," Located 21 kms southwest of Bangalore on Kanakpura Road atop Panchagiri Hills, Art of Living Centre is the headquarters of the spiritual, cultural organization Art of Living Foundation, established by Sri Sri Ravi Shankar.  "
Bangalore, 14. Vidhana Soudha ,3.8, 1 km  from city center ," Vidhana Soudha houses the State Legislature and the Secretariat of Karnataka. Popularly known as the 'Taj Mahal of South India', it is one of the most magnificent buildings in the city. It is illuminated on Sunday and public holidays. "
