City,Place,Ratings,Distance,Place_desc
Chandigarh, 1. Sukhna Lake ,4.5, 4 km  from city center ," Sukhna Lake is a man-made lake and one of the most famous attractions in Chandigarh. With its pristine blue water, it is frequented by morning joggers and walkers. Boating, rowing, trampoline jumping and solar cruise are popular activities here. Sukhna Lake also houses Siberian ducks and cranes. "
Chandigarh, 2. Rock Garden ,4.6, 4 km  from city center , The Rock Garden is a massive open-air exhibition hall that displays sculptures made from urban and industrial wastes that have been designed and executed by Nek Chand. It also consists of man-made interlinked waterfalls. The popular Teej festival is also celebrated here each year. 
Chandigarh, 3. Elante Mall ,4.3, 4 km  from city center ," Elante Mall is the second-largest mall of Chandigarh situated in Industrial Area Phase 1. It comprises of various Indian and international brands, a food court and various cafes. "
Chandigarh, 4. Rose Garden ,4.2, 1 km  from city center ," Located in sector 16 of Chandigarh, Rose Garden is a blooming exhibit that showcases around 825 varieties of flowers and 32,500 varieties of trees and medicinal shrubs. Also known as Zakir Hussain Rose Garden, it is quite popular among tourists and nature enthusiasts.  "
Chandigarh, 5. Chattbir Zoo ,, 14 km  from city center ," Chattbir Zoo, also known as Mahendra Choudhary Zoological Park is a zoological park in Zikarpur near Chandigarh. The park is home to a vast variety of animals, birds and reptiles. Sprawling over an expansive 202 acres of land, the zoo offers an open enclosure to the animals to retain their natural habitat environment. The highlight of the zoo is Royal Bengal Tiger. "
Chandigarh, 6. Sector 17 Market ,, 1 km  from city center ," Sector 17 Market is the most popular of the city. Replete with several big brand stores, international outlets, food chains and eateries, the market is popular both among the youngsters and the adults. From kids wear to fashion apparels to bridal stores and the like, the market has got something for everyone and is bustling with visitors all through the day. "
Chandigarh, 7. Japanese Garden ,, 3 km  from city center ," Located in Sector 31A in Chandigarh, Japanese Garden is a well-groomed, beautifully maintained park which houses a park, water bodies, pagoda towers, waterfalls, meditation centres, buddha idol and several other structures. The park has two phases interconnected by an underground tunnel which is adorned with beautiful Japanese paintings. "
Chandigarh, 8. Gedi Route ,, 8 out of 51  places to visit in Chandigarh ," Gedi Route is one of the prime attractions in the city of Chandigarh. Abuzz with activity, street cafes, and college going students, the route extends from Sectors 8,9,10 to 11. 'Gedi' means rounds and true to its name, the route is used for late night drives and bike rides. The name has lately been changed to Azaadi Route. "
Chandigarh, 9. Government Museum and Art Gallery ,4.2, 2 km  from city center ," The Government Museum and Art Gallery is a natural history museum and an art gallery in Chandigarh. The building is typically is square of 165x165 feet. The following sections are present at the institute, other than the gallery itself - The National History Museum, the National Gallery of Portraits and the Chandigarh Architecture Museum, each with further sections of their own.  "
Chandigarh, 10. International Dolls Museum ,4.0, 1 km  from city center ," International Dolls Museum contains a wide collection of fascinating dolls and marionettes brought from countries like Germany, Denmark, Netherlands, Spain, Korea, and Russia that stand beside the huge Indian collection. "
Chandigarh, 11. The Capitol ,4.5, 4 km  from city center ," Housing the Legislative Assembly, the Secretariat, the High Court and the Capitol designed by Le Corbusier is another architectural marvel composed of twofold cover, which appears like an overturned umbrella. "
Chandigarh, 12. Fun City ,4.3, 7 km  from city center ," Fun City is the biggest water amusement park in North India. It boasts of one activity pool, three landing pools and a wave pool, a cluster of water slides of various shapes and sizes, which makes for a delightful ride for the water lovers. "
Chandigarh, 13. Pinjore Gardens ,4.5, 14 km  from city center ," Pinjore Gardens is a beautiful Mughal Garden made in 17th Century India located in the city of Pinjore, in the district of Panchkula, Haryana. Also known as Yadvinder Garden, this terraced garden is famous for its well-maintained greenery, refreshing fountains and mesmerising water bodies. "
