City,Place,Ratings,Distance,Place_desc
Goa, 1. Fun time in Calangute Beach ,4.4, 10 km  from city center ," Calangute is the largest beach in north Goa stretching from Candolim to Baga. It is a hub for tourists and backpackers as it is the perfect place to look for accommodation. It is known for the beach shacks and water sports like parasailing, water surfing, banana ride and jet-skiing.  "
Goa, 2. Fort Aguada ,4.4, 6 km  from city center , Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset. 
Goa, 3. Dine on a Cruise ,4.3, 1 km  from city center ," Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim. "
Goa, 4. Water Sports in Goa ,4.4, 26 km  from city center ," Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators. "
Goa, 5. Behold to Dudhsagar Waterfalls ,4.3, 52 km  from city center ," One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The Dudhsagar falls should be visited during the monsoon when it is in full flow and the surrounding deciduous forests are at their verdant best. "
Goa, 6. Adventures of Anjuna Beach ,4.4, 13 km  from city center ," Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km. From family outings to adrenaline-filled adventures, Anjuna Beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets. "
Goa, 7. Chapora Fort ,3.7, 16 km  from city center ," Chapora Fort is undeniably one of the most famous forts in Goa. More popularly known as the 'Dil Chahta Hai Fort', its claim to fame was the 2001 Bollywood blockbuster shot here. A scintillating escape, it offers beautiful views of the sea and Chapora River. "
Goa, 8. Thalassa  ,, 15 km  from city center ," Thalassa- The Greek Taverna is one of the most popular restaurants in Goa. Having moved out to the backwaters along with Siolim (from its prior location of Vagator hilltop), it is famous for its signature cocktails and sunsets. Reverberating with the cultural flavour of Greece, it serves authentic Greek Mediterranean cuisine. "
Goa, 9. Basilica of Bom Jesus ,4.3, 9 km  from city center ," The Basilica of Bom Jesus Church is a UNESCO World Heritage Site. It houses the tomb and remains of St. Francis Xavier. Even after 400 years, the remains are in a good condition and are taken out once every decade. "
Goa, 10. Go Clubbing by the Baga Beach ,4.5, 10 km  from city center ," One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim. It is the perfect destination to witness the dazzling nightlife of Goa as signature places such as Britto's, Tito's and Mambos are located in the vicinity. It is also known for a vast range of water sports. "
