City,Place,Ratings,Distance,Place_desc
Hyderabad, 1. Tour the Ramoji Film city ,4.2, 25 km  from city center ," Located on the outskirts of Hyderabad, Ramoji Film City is certified as the World's largest Film Studio Complex by the Guinness Book of World Records. It is the most famous attraction in Hyderabad. The highlights are the film city tour, Sahas Adventure and holiday carnivals. "
Hyderabad, 2. Charminar ,4.3, 3 km  from city center ," An identifying feature of the city, Charminar is the most prominent landmark of Hyderabad. It was erected by Quli Qutub Shah to signify the founding of Hyderabad. Everyone coming to the city, definitely visits the Charminar. It is also famous for the market that sprawls around it and is called 'Laad' or 'Chudi' Bazaar. "
Hyderabad, 3. Enjoy the Show and Food at Hussain Sagar Lake ,4.3, 5 km  from city center ," Hussain Sagar Lake is one of a largest man-made lake situated in Hyderabad. Renowned for its monolith of Lord Buddha placed right at the center of the lake, the place is famously known as a Tank Bund, a popular spot of tourist attraction.  "
Hyderabad, 4. Wonderla ,4.4, 19 km  from city center ," Wonderla Amusement and Theme Park is the best water park in Hyderabad and one of the best things to do. With more than 43 fun and thrilling rides, it is a fun place for a family outing. The rides are divided into High Thrill Rides, Water Rides, Family Rides and Kids RIdes. "
Hyderabad, 5. GravityZip ,4.3, 18 km  from city center ," GravityZip is India’s first indoor sky diving arena. It is located in  Gandipet, Hyderabad only a few minutes away from Mehdipatanam Bus Stop. It features the first of its kind indoor skydiving wind tunnel, which is the first in India. It is fun for beginners as well as professionals. The flight package consists of 2 flights of 1-minute duration. "
Hyderabad, 6. Chowmahalla Palace ,4.2, 3 km  from city center ," The Chowmahalla Palace of Hyderabad once served as the official residence of the Nizams of Hyderabad during their reign still retains some of its past splendour. The architecture of the palace is an imposing sight to behold. The facade itself is a delicate artwork of domes, arches, windows and meticulously carved out designs. "
Hyderabad, 7. Golkonda Fort ,4.3, 9 km  from city center ," Golconda Fort is a massive fortress whose ruins stand proudly even today displaying the glory of its rich past and some untold sagas of the city's history. It is reputed for being the area where once, the mighty Koh-I-Noor diamond was stored. In the evening, Golconda Fort comes to life with the light and sound show. "
Hyderabad, 8. Statue of Equality ,4.3, 28 km  from city center ," The Statue of Equality is the second tallest sitting statue in the world at its height of 216 ft. Located in Muchintal, Hyderabad, it is a statue of Sri Bhagavad Ramanujacharya, who worked relentlessly to promote equality. It was built to commemorate his 1000th birthday. The highlights are the dancing water show with light and music and the dynamic fountain show (Leela Jala Neerjanam) held daily. "
Hyderabad, 9. Thrill City ,4.0, 6 km  from city center ," Thrill City is a virtual reality amusement park located on Necklace Road near Sanjeeviah Park in Hyderabad. It offers a flying simulator, cricket simulator, bumping cars, a bowling alley, swimming pool, splash coaster and much more. The highlight is the world's largest single platform motion theatre. Thrill City is a fun place to visit for people of all ages. "
Hyderabad, 10. Indulge in Various Activities of Shilparamam ,, 14 km  from city center ," Situated in Madhapur area of Hyderabad, Shilparamam is a traditional crafts village created with the idea to preserve and conserve traditional crafts. The village has been set amidst cascading waterfalls and lush greenery; it has sections designated to depict each region of the country.  "
