City,Place,Ratings,Distance,Place_desc
Jaipur," 1. Amber Fort, Jaipur ",4.4, 10 km  from city center ," Cradled on the top of a hill near Jaipur lies the Amer Fort, one of the most magnificent palaces in India. Also commonly known as the Amber Fort, this majestic building is a part of an extensive complex. The massive fort can be explored in 2-3 hours. Audio guides are available explaining the history. Getting an elephant ride up the stairs to the Amber Fort is also a popular tourist activity.  A sound and light show is also held here every evening. "
Jaipur, 2. Experience the Village of Chokhi Dhani ,3.5, 17 km  from city center ," Chokhi Dhani is a luxury heritage resort synonymous with Rajasthani village culture. It is located a little on the outskirts of the city on Tonk Road. It is a true depiction of traditional Rajasthan with ancient artefacts, handicrafts, paintings, folklore and sculptures. The village offers myriad entertainment options- folk dances, singing, camel rides, puppet shows, fortune-tellers, acrobatics, predicting parrots, magic shows, horse riding. etc. It is also known for its traditional Rajasthani food. "
Jaipur, 3. City Palace ,4.5, 4 km  from city center ," The City Palace is the main palace from where the Maharaja Sawai Jai Singh reigned. The palace includes the Chandra Mahan and Mubarak Mahal along with various other buildings within the complex. It is located towards the north-eastern side of Jaipur.  The palace is divided into a series of courtyards, buildings and gardens. There is a museum that showcases various unique handcrafted products and other things that belong to the royal heritage of the City Palace.  "
Jaipur, 4. Hawa Mahal ,4.5, 4 km  from city center ," The Hawa Mahal stands at the intersection of the main road in Jaipur, Badi Chaupad. It is regarded as the signature building of Jaipur. From within, the Hawa Mahal palace is based on five floors each of which has a uniquely decorated chamber.  The top of the palace offers a brilliant view of the City Palace, Jantar Mantar and the ever-busy Siredeori Bazar. There is a small museum as well which holds some rich relics and miniature paintings. "
Jaipur, 5. Witness the Magic of Jantar Mantar ,4.4, 4 km  from city center ," Jantar Mantar in Jaipur is the largest stone astronomical observatory in the world. It is located just next to the City Palace. Built during the period between 1727 and 1733, the Jantar Mantar is still in a running condition and it stands as a witness regarding the wisdom of former age. The world's largest sundial is also situated here. A light and sound is conducted here every evening. "
Jaipur, 6. Nahargarh Fort ,4.3, 4 km  from city center ," Nahargarh Fort, situated on the outskirts of Jaipur,  is known for breathtaking views of the city and its extended wall that connects it to Jaigarh Fort. Embellished with delicate carvings and stonework, it is an impregnable structure and together with its two neighbouring forts - Amer and Jaigarh once stood as the strong defence of Jaipur city. The Padao Restaurant is also a must-visit if you're near Nahargarh Fort from where you're sure to enjoy a panoramic view of the city of Jaipur. "
Jaipur, 7. Explore collections at Albert Hall Museum ,4.4, 3 km  from city center ," Situated in the Ram Niwas Garden, Albert Hall Museum is one of the oldest museums of Rajasthan. It has a rich collection of various kinds of items such as paintings, carpets, ivory, stone, metal sculptures, colourful crystal works etc. The museum looks stunning with yellow lights at night. "
Jaipur, 8. Birla Temple ,4.4, 4 km  from city center ," Located on an elevated ground at the base of Moti Dungri hill, the Birla Temple of Jaipur is dedicated to Lord Vishnu (Narayan), the preserver and his consort Lakshmi, the Goddess of wealth. It is also known as the Lakshmi Narayanan Temple and forms a part of one of the several Birla temples located all around the country.  "
Jaipur, 9. Masala Chowk ,, 3 km  from city center ," Located in Ram Niwas Garden, this open-air food court offers 21 flavours of the Pink City under one roof (or sky). Masala Chowk brings the best Jaipur has to offer in street food and assembles it in one place. Initially, the place was meant to attract tourists, given its proximity to the famous Albert Hall Museum in the area. However, Masala Chowk has become the talk of the town amongst the locals too. "
Jaipur, 10. Take a tour of Jaigarh Fort ,4.4, 10 km  from city center ," Jaigarh Fort is a grand structure perched on the top of the 'Cheel ka teela' hills designed by a talented architect called Vidhyadhar. The fort reflects the city's prosperous past and is named after the ruler who got it built, Sawai Jai Singh II. It is connected to Amer Fort through subterranean passages. The fort currently houses the world's largest cannon on wheels - 'Jaivana' and offers a magnificent view of Jaipur city. "
