City,Place,Ratings,Distance,Place_desc
Kolkata, 1. Marvel at the Victoria Memorial ,4.5, 4 km  from city center ," The Victoria Memorial is a large marble building, which is considered to be the pride of Kolkata. Built between 1906 and 1921, it is dedicated to the memory of Queen Victoria. Now, it is a museum and a popular tourist spot under the Ministry of Culture.  "
Kolkata, 2. Fort William ,4.4, 3 km  from city center ," Fort William is a fort built in Kolkata on the eastern banks of the River Hooghly, the major distributary of Ganges. The magnificent structure is spread over 70.9 acres and is embellished with hundreds of arched windows that overlook lush green gardens. Meticulous stonework adorns the surface of the building. "
Kolkata, 3. Belur Math ,4.4, 7 km  from city center ," Belur Mutt is the headquarters of the Ramakrishna Math and Mission, founded by Swami Vivekananda. Situated on the west bank of Hooghly River, the temple is prominent for its architecture that embraces Hindu, Christian and Islamic styles and stands as an icon of unity of all religions. "
Kolkata, 4. Evening Walk along the Howrah Bridge ,4.4, 2 km  from city center ," Located over the Hooghly river in West Bengal, Howrah Bridge or the Rabindra Setu is the main connection between Howrah and Kolkata.  It is a cantilever bridge and is regarded as one of the busiest ones among them.  "
Kolkata, 5. Birla Planetarium ,4.4, 3 km  from city center ," The Birla Planetarium in Kolkata, is the largest planetarium in Asia and the second largest planetarium in the world. It is a single-storeyed circular structure designed in the typical Indian style whose architecture is designed on the Buddhist Stupa at Sanchi.  "
Kolkata, 6. Indian Museum ,4.4, 2 km  from city center ," The Indian Museum is one of the oldest museums of the world boasting some of the most exquisite collections of ornaments, fossils, skeletons, antiques, armors, mummies and stunning Mughal paintings.  "
Kolkata, 7. Marble Palace Mansion ,3.7, 2 km  from city center ," The Marble palace near the Chorbagan in North Kolkata built in 1835 by Rajendra Mallick is famed for its art collection of masterpieces by Reuben and paintings by various renowned international artists such as Reynolds, Van Gogh and Rembrandt. "
Kolkata, 8. Mother House ,3.7, 3 km  from city center , This is the place where the Tomb of Mother Teresa is present. It is maintained by her missionaries and followers who have continued to promote her legacy. 
Kolkata, 9. Take a tour of Science city ,3.8, 5 km  from city center ," One of its kind in India, the Science city was inaugurated on 1st July 1997. It is a major attraction for the residents of Kolkata as well as for the people visiting Kolkata. It is one of the finest and the largest science museums in the world and provides a fun way of learning science.  "
Kolkata, 10. St. Paul's Cathedral ,3.8, 4 km  from city center ," Said to be the first cathedral built in the overseas territory of the British Empire, St. Paul's Cathedral is a Anglican cathedral located in Kolkata. Also said to be the seat of the Diocese of Calcutta, it is a very fine example of Indo-Gothic style of architecture. "
Kolkata, 11. Relax on the Tajpur Beach ,3.5, 127 km  from city center ," Tucked between Mandarmani and Shankarpur, Tajpur is a small town set on the Bay of Bengal's tranquil shore, just 170 kms from Kolkata. Considered to be a serene secret of West Bengal, the virgin beach is hidden away from view and is still untouched by commercialization and tourism. The highlight of the pristine beach are the hundreds of red crabs that are found on the shores, which also give a perfect crimson colour to the beach.  "
Kolkata, 12. Birla Mandir ,3.9, 4 km  from city center ," The glowing structure that adorns the streets of Kolkata is the popular Hindu Temple, Birla Temple. Dedicated to Lord Krishna and Radha, the temple is perfect specimen of craftsmanship.  "
Kolkata, 13. Catch a Match at the Eden Gardens ,3.8, 3 km  from city center ," Popular as the largest cricket stadium in the India and the second largest in the world, the Eden Gardens can seat 66,000 spectators. It is set amidst an adjoining garden where Eden- related to the one-time Governor of Aukland and her sister would stroll during the evenings.  "
Kolkata, 14. Catch the Shows at Jorasanko Thakur Bari ,3.3, 1 km  from city center ," Currently located on the Rabindra Bharati University campus in Jorasank, Jorasanko Thakur Bari is the house in which the first non-European Nobel laureate and poet, Rabindranath Tagore was born. "
Kolkata, 15. Take a Toure of Birla Industrial & Technological Museum ,3.9, 4 km  from city center ," Being the first scientific and industrial museum in India, Birla Industrial and Technological Museum (BITM) is one of the prime attractions of Kolkata. It is famous for its galleries and 3D shows. "
Kolkata, 16. Rabindra Sarovar ,3.3, 7 km  from city center ," The erstwhile Dhakuri lake is an artificial tank spread over 75 acres and is home to various migratory birds from Siberia and Russia. The lake is surrounded by gardens, children's park an auditorium, making it a popular recreational spot perfect for idyllic picnics making it one of the unique places to visit in Kolkata. "
Kolkata, 17. Kalighat Temple ,3.4, 6 km  from city center ," Kalighat Temple, one of the 51 Shakti Sthals of India, is one of the most visited Kali temples in India. The spot is where the toes of Sati's right foot fell during Shiva's Rudra Taandav naach. "
Kolkata, 18. Shobhabajar Rajbari ,3.1, 3 km  from city center ," The Shobhabazar Rajbari is one of the grandest Bengali style houses ever built. It was build by the Royal family of Shobhabazar in Kolkata, and the grandeur is only palpable to the eye. "
Kolkata, 19. Get close to Nature in the Botanical Gardens ,3.3, 45 km  from city center ," The Botanical Gardens of Calcutta were founded by Robert Kyd in 1787. Protected by the Botanical Survey of India, it stretches over 109 hectares. A Banyan tree in the garden, of more than 330 m circumference, known as The Great Banyan, is the largest tree in the world. The Botanic Gardens of Kolkata were later renamed Acharya Jagadish Chandra Indian Botanic Garden. "
Kolkata, 20. Nakhoda Mosque ,3.3, 1 km  from city center ," Placed in the Chitpur area in the Burrabazar business district, Nakhoda mosque is one of the busiest Mosques of Kolkata and dates back almost a century. The prayer hall has a seating capacity of 10000, and the domes and minarets have been constructed in keeping with the Fatehpur Sikri style of architecture. "
Kolkata, 21. Alipore Zoo ,3.0, 5 km  from city center ," The Alipore Zoo, also known as the Calcutta Zoo or the Zoological Garden of Alipore, is the oldest zoological park to have been established in India and is a major tourist attraction in Kolkata. It attracts tourists from all across the nation who visit the zoo to explore the wildlife that happily thrives here and to enjoy themselves.  "
Kolkata, 22. Sabarna Sangrahashala ,3.3, 12 km  from city center ," Designed, developed and maintained by Sabarrna Roy Choudhary Paribar Parishad to preserve and display the heritage of one of the well known families of Bengal- The Sabarna Roy Choudhary family. "
Kolkata, 23. Spend an Evening in Eco Tourism Park ,, 11 km  from city center , Eco Tourism Park is an expansive urban park designed to promote eco tourism in the city. It is the biggest urban park in India and occupies over 475 acres of land. The beauty of the location increases ten folds because of a water body that surrounds the park and forms an island in the middle. 
Kolkata, 24. Calcutta Jain Temple ,, 4 km  from city center , Pareshnath Jain Temple is a temple complex dedicated to four Jain Teerthankaras. The complex is a beautiful arrangement of these shrines and draws tourists from all over the world. The architecture of the temples consists of intricately carved marbles and glass work. It is indeed one of the few temples that have a charismatic vibe.  
Kolkata, 25. Rides in Nicco Park ,, 6 km  from city center ," Nicco Park is an amusement park frequently visited for entertainment and recreational purposes. It is also called the 
""Disney Land of West Bengal: and attracts visitors in large numbers throughout the year. The park functions efficiently on solar energy that causes no pollution.  "
Kolkata, 26. Boat Ride & Food at Prinsep Ghat ,, 4 km  from city center ," Prinsep Ghat, located on the banks of River Hooghly, is a majestic structure famous for its Greek/ Gothic inlays. IWith the magnificent Howrah Bridge in the background, watching the sunrise or sunset and taking a long walk in the cool air on the banks of the river are some of the preferred recreational activities here.  "
Kolkata, 27. Enjoy the rides at Aquatica ,, 10 km  from city center ," Aquatica is a water theme park and resort in Kolkata having many exciting themed rides, slides, entertainment and recreational activities for all their guests. The water park occupies over 75000 square feet of area and provides for a pleasant respite from the scorching summer heat. They provide lockers for the visitors to keep their belongings securely. "
Kolkata, 28. Party in the Park Street ,, 1 km  from city center ," Park Street is a major access route in Kolkata, also officially known as Mother Teresa Sarani. The street begins at Chowringhee Road or JL Nehru road and stretches till Park Circus crossing. It is said that Park Street never sleeps and is always bustling with activities. It is one of the major hangouts in the city as it has a number of pubs and restaurants. "
Kolkata, 29. Shopping in Chowringhee ,, 3 km  from city center ," Chowringhee, also officially known as Jawaharlal Nehru Road, is a happening hub and frequently visited by locals for recreational activities and shopping. It is one of the few localities in the city with top end boutiques, hotels, malls, shops and restaurants.  "
Kolkata, 30. Pray at ISKCON Kolkata ,, 3 km  from city center , ISKCON Radha Krishna Temple is a highly spiritual place for the devotees focusing on spreading the teachings of Lord Krishna. It is not restricted to any one particular religion as such and welcomes enthusiasts or people interested in learning about these teachings with open arms. The temple is a serene complex that houses beautifully ornamented idols of Goddess Radha and Lord Krishna.  
