City,Place,Ratings,Distance,Place_desc
Leh Ladakh, 1. Pangong Lake ,4.4, 156 km  from city center ," The most popular tourist attraction in Ladakh, Pangong lake is an endorheic (landlocked) lake situated at 4350 meters. Also known as Pangong Tso it is 12 kilometres long and extends from India to Tibet. Almost 60% of Pangong Lake lies in the Tibetan Autonomous Region. A unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! It is famous amongst tourists as Ladakh lake, the spot where the Bollywood movie ""3 Idiots"" was shot. "
Leh Ladakh, 2. Khardung La Pass ,4.3, 20 km  from city center ," Khardung La, also known as Khardzong La, is one of the highest motorable roads in India at an elevation of 5602 metres. It serves as the gateway to Shyok and Nubra Valley. An inner line permit is required to visit. It remains closed from October to May. "
Leh Ladakh, 3. Nubra Valley ,3.6, 71 km  from city center ," Nubra Valley lies in the union territory of Jammu & Kashmir, at a distance of around 140 Km from Leh. With arid mountains in the backdrop, it is famous for the Bactrian camel rides, orchards and monasteries. Surrounded by snow-dusted Himalayan mountains, it can be reached via Khardung La. "
Leh Ladakh, 4. Sangam ,4.4, 23 km  from city center ," Sangam is the confluence of Indus and Zanskar Rivers in Ladakh. The two rivers can be separately seen meeting at this point. While the Indus River appears as shiny blue, Zanskar River appears muddy green.  "
Leh Ladakh, 5. Shanti Stupa ,4.3, 2 km  from city center ," The Shanti Stupa is a white-domed Buddhist monument. It is a religious place for Buddhists as it holds the relics of Buddha, consecrated by the 14th Dalai Lama. It looks exceptionally beautiful during the full moon night. "
Leh Ladakh, 6. Tso Moriri Lake ,4.3, 155 km  from city center ," Tso Moriri is the largest high altitude lakes in India, at an altitude of 4,595m. It is a twin to Pangong Lake. It is accessible only during the summer months and an inner line permit is required for visiting. "
Leh Ladakh, 7. Magnetic Hill ,4.3, 21 km  from city center , The popular Magnetic Hill of Ladakh is a cyclops hill where vehicles seem to move upwards on the hill instead of rolling downwards. It is located 30km from Leh towards Kargil. 
Leh Ladakh, 8. Hall Of Fame Museum ,3.3, 4 km  from city center ," Located at approximately 4 km from the main city, this glorified museum was built in memory of the brave soldiers who lost their lives fighting for India at the Indo-Pakistan war. "
Leh Ladakh, 9. Thiksey Monastery ,, 13 km  from city center , Thiksey Monastery is a Tibetan-style monastery located 20km south of Leh. The main highlight is the Maitreya Temple which houses a 15-metre high Maitreya Buddha statue. It is the largest such statue in Ladakh. 
Leh Ladakh, 10. Zanskar Valley ,4.0, 100 km  from city center , Located in the Kargil district to the east of Ladakh (around 105 km) lies the bewitching Zanskar Valley. The semi-desert region is flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna. The easiest way of reaching Zanskar is from Kargil through Suru Valley. 
