City,Place,Ratings,Distance,Place_desc
Mumbai, 1. Elephanta Caves ,4.3, 14 km  from city center ," An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline.  "
Mumbai, 2. Walk at Marine drive ,4.5, 16 km  from city center ," Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai.  "
Mumbai, 3. Picnic at Juhu Beach ,4.4, 8 km  from city center ," The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries. "
Mumbai, 4. Shopping at Colaba Causeway ,4.3, 18 km  from city center ," One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops and old-world cafes like a magnet. "
Mumbai, 5. Stroll around Gateway of India ,4.4, 18 km  from city center ," One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way.  "
Mumbai, 6. Bollywood Tour at Film City ,3.8, 10 km  from city center , Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.  
Mumbai, 7. Enjoy Street Food ,, 7 out of 105  places to visit in Mumbai ," The food culture of Mumbai is defined by its street food. People from all economic classes eat from the roadside food stalls in Mumbai, which serve some of the best local food, even better than many restaurants. Mumbai's most famous street food includes Vada Pav, bhelpuri, panipuri, sevpuri, Bombay sandwich, ragda-pattice, pav bhaji, omlette pav and kebabs. Among the popular desserts of Mumbai are Kulfi and Ice Gola.  "
Mumbai, 8. Hanging Gardens ,3.8, 15 km  from city center ," Marked by bushes trimmed into shapes of various animals and proximity to the Arabian Sea are the Hanging Gardens, opposite the Kamla Nehru park. Spend a relaxed evening here, enjoying the sunset, especially if you are with kids. "
Mumbai, 9. Prince of Wales Museum ,4.3, 17 km  from city center ," The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of a plethora of ancient, exquisite artefacts relating to the rich and diverse history of India. "
Mumbai, 10. Mumbai Zoo ,3.8, 12 km  from city center ," Popularly known as Veermata Jijabai Udhyan, the zoo is the best way to spend family holidays amidst a vast variety of birds & animals. "
