City,Place,Ratings,Distance,Place_desc
Pune, 1. Shaniwar Wada ,4.3, 0 km  from city center ," Standing tall in its full glory, Shaniwar Wada was once a stately mansion. Built as a dwelling for Peshwas, its foundation was laid by Bajirao I in year 1730 AD. Today it gives a chance to peak into its great past.  "
Pune, 2. Aga Khan Palace ,4.4, 6 km  from city center ," Aga Khan Palace is well known both for its architectural excellence as well as its historical significance. Spread over a vast land of 19 acres, the palace is now the headquarters of the Gandhi National memorial society. Here, making khadi is still one of the prime activities. "
Pune, 3. Meditate at the Osho Ashram ,4.2, 4 km  from city center ," The Ashram is a tranquil place which brings you to you own centers of peace, meditation & oneness. The ideologies of Osho also can be found here. "
Pune, 4. Katraj Snake Park ,4.2, 7 km  from city center , It has a temple and many rare species of snakes. A brown Palm Civet & a King Cobra are its main attractions. One can also chance upon birds & turtles in the area 
Pune, 5. Sinhagad Fort ,, 20 km  from city center ," Located around 36 kms southwest of the city of Pune, Sinhagad Fort is built atop a cliff on the Bhuleshwar range of the Sahyadris. Literally translating to ""Fort of the Lion"", Sinhagad Fort boasts of a rich history. It was initially occupied by the Mughals until it came to be possessed by the Marathas. Lately, it has become a popular source of tourism and is especially popular among trekkers and adventure enthusiasts. "
Pune, 6. Dagdusheth Halwai Ganpati Temple ,, 0 km  from city center ," Dedicated to Lord Ganapati, Shreemant Dagdusheth Halwai Ganapati temple is one of the most famous places to visit in Pune. The idol of Lord Ganapati is 2.2 meters high and 1 meter wide and is adorned with almost 40 kilos of gold. 
 "
Pune, 7. Mulshi Lake and Dam ,3.5, 36 km  from city center ," Mulshi lake is formed in the catchment area of Mulshi dam. Known for its scenic beauty due to Sahyadri ranges, Koraigadh and Dhangad fort, it is a perfect gateway for nature lovers. "
Pune, 8. Pune Okayama Friendship Garden ,, 4 km  from city center ," Pune Okayama Friendship Garden is the largest Japanese garden outside of Japan, in Asia. Also called the Pu. La. Deshpande Udyan, it reflects on the Indo-Japanese relationship, as it is inspired by the 300-year old Okayama Korakuen Garden in Japan. 
 "
Pune," 9. Rajmachi Fort, Pune ",, 139 km  from city center ," Tucked between the two hills of Lonavala and Khandala, Rajmachi Fort is a grand structure of the bygone era. Especially popular among the adventure enthusiasts, the fort can be reached through a thrilling trek amidst the gorgeous Sahyadris. You can also camp at the base of the fort. "
Pune, 10. Panshet Water Park ,3.2, 1 km  from city center ," One of the most loved attraction of the city, one can enjoy kayaking, rides, water scooters, speed boats, swimming and much more here. "
Pune, 11. Vetal Tekdi ,, 4 km  from city center ," Vetal Tekdi is one of Pune's most well-known landmarks. It envelops the entire city and is a stunning place to spend an evening or an early morning.  It is known by various names such as Hanuman Tekdi, MIT Tekdi, and Pashan Tekdi.  "
Pune, 12. Parvati Hill Temple ,3.2, 4 km  from city center ," Once the private shrine of the Peshwas, the temple was built in the 17th century by Balaji Baji Rao. 108 steep flights above, is the temple on a hillock from where one can behold some of the most beautiful views of the city. "
Pune, 13. Live the Nightlife in Cafe's & Nightclubs ,3.5, 1 km  from city center ," Pune sports a glittering instance of nightlife culture. The city nightlife continues till the wee hours of night and there are many pubs, bars and discotheques for the urban crowd. There are also some eating joints which serve food for the late night cravings. "
Pune, 14. Pataleshwar cave temple ,3.2, 1 km  from city center ," The cave temple is rock-cut temple dating back to the 8th century. Dedicated to Shiva, the temple has a Shivalingam, a circular Nandi Mandapa and a passage with stone pillars inside. "
Pune, 15. Lal Mahal ,, 0 km  from city center ," Lal Mahal located near Shaniwar Wada in Pune is a historic landmark of the 16th century. From being a childhood home for Chhatrapati Shivaji to taking Shaistekhan head-on, this red coloured structure is an architectural marvel. "
Pune, 16. National Defence Academy ,, 12 km  from city center ," The National Defence Academy, also known as NDA is an academy for Indian armed services. Members from the three defence services: The Indian Army, Indian Navy and Indian Air Force train together until they are sent for their separate commissioning.  "
Pune, 17. National War Museum ,3.5, 3 km  from city center ," The museum owes its existence to the efforts and contributions of countless people from all walk of life. It has hence, become a popular attraction for the town, that celebrates and creates increasing awareness and knowledge about Indian army and its soldiers "
Pune, 18. Sri Balaji Mandir ,, 7 km  from city center ," Sri Balaji Mandir of Pune is a close replica of the renowned Venkateshwara temple at Tirumala, Tirupati. Not only the architecture and the look of the sanctum deity, the temple follows its influencer in rituals and religious activities as well.  "
Pune, 19. Rajgad Trek ,3.5, 36 km  from city center , Rajgad trek is a moderate level trek that begins at the Gunjavane Village in Pune District and ends at the Rajgad Fort. It is a favourite trekking trail among intermediate level trekkers who are looking for a great location to satisfy their urge for the thrill.  
Pune, 20. Rajiv Gandhi Zoological Park ,, 7 km  from city center , Rajiv Gandhi Zoological Park is a famous tourist attraction in Pune. The zoo expands over an area of 130 acres and is a preferred attraction for picnics and outings.  
Pune, 21. Picnic in Bund Garden ,4.3, 4 km  from city center ," The garden was built by Sir Jamshedji and is located on the banks of Mula-Mutha river. Famous for its scenic beauty, away from the cities rush, the area has boat rides and sports a spectacular view of the flora in and around. "
Pune, 22. Torna Fort ,, 37 km  from city center ," Also known as Prachandagad due to its gigantic size, Torna Fort is the tallest fort of Pune. Although in ruins, the fort stands tall as a testimony to the battles of the bygone era. Nestled in between mesmerizing surrounding, the fort has one of the most beautiful locales in the region and is a popular tourist spot. "
Pune, 23. Mahatma Phule Museum ,3.2, 1 km  from city center ," Mahatma Phule Museum was originally the residence of the Maratha social activist and a prominent promoter of women’s rights- Mahatma Jyotiba Phule. However, in 1890, the residence was transformed into a museum. The highlight is the taxidermy of animals including elephants, sea fish etc. "
Pune, 24. Shinde's Chatri ,3.3, 5 km  from city center ," Built in the memory of the Maratha nobel, Shri Mahadju Shinde, the Chatri is situated in Wanowri near Pune. "
