City,Place,Ratings,Distance,Place_desc
Rishikesh, 1. Rafting in Rishikesh ,4.0, 2 km  from city center ," Rafting in Rishikesh particularly is hands down the best; one could endeavour in India. From the gifted natural circumstances to the top professional assistance, the place has just the best to offer. There are some certified operators, whose safety arrangements are well in place, and there are customised packages for camping and rafting at Rishikesh. The peak season sees Rishikesh pretty crowded, so you can keep a check over that detail when you are planning. "
Rishikesh, 2. Take a Walk over the Lakshman Jhula ,4.5, 7 km  from city center ," The Lakshman Jhula is a famous hanging bridge across the river Ganga that connects two villages, Tapovan in the Tehri Garhwal district and Jonk in the Pauri Garhwal district. Sadly, it has been closed permanently owing to the risk to the safety and security. A new glass bridge is set to come up adjacent to Lakshman Jhula. However, it is still used by pedestrians but bikes are strictly not allowed. "
Rishikesh, 3. Sunset on the Triveni Ghat ,4.3, 4 km  from city center ," Triveni Ghat is a confluence of three holy rivers of India - Ganga, Yamuna and Saraswati. One of the biggest and most famous ghats in Rishikesh, it is also one of the most revered sacred bathing spots. Triveni Ghat is where the famous Ganga Aarti takes place every evening. "
Rishikesh, 4. Attend the Famous Ganga Aarti ,, 4 km  from city center ," Ganga Aarti is the most auspicious and holiest ritual performed on the ghats of Rishikesh in the evening at the time of dusk. Although the aarti is performed at several ghats, the most popular ones are performed at Parmath Niketan Ghat and Triveni Ghat. The riverbank is lit up with dainty floating diyas and the smoke of the hawans floating the skies. The chiming of the temple bells, the chanting of mantras and the overall ambience of the place is an experience of a lifetime.  "
Rishikesh, 5. Cliff Jumping ,, 5 out of 53  places to visit in Rishikesh , Cliff Jumping is a popular adventure activity in Rishikesh. It primarily involves jumping from a 30-40ft high cliff in icy cold water. The most well-known cliff jumping site in Rishikesh is the lower part of Brahmapuri Stretch. 
Rishikesh, 6. Camping ,, 7 km  from city center ," Camping along the banks of Ganga is a popular thing to do in Rishikesh. Numerous camping sites are located on the banks, and beaches here serve as great locations to indulge in various sports. During the day, a lot of adventure sports are organised for the travellers. "
Rishikesh, 7. Neelkantha Mahadeva Temple ,3.8, 7 km  from city center ," Neelkanth Mahadev Temple is one of the most revered Hindu sites dedicated to Lord Shiva. Located in the Pauri Garhwal region, the temple is around 7km from Swarg Ashram. It is one of the most popular Shiva temples and is visited by devotees from all over the world. "
Rishikesh, 8. Find Peace in The Beatles Ashram ,, 5 km  from city center ," The Beatles Ashram, also known as Chaurasi Kuti, is located on a cliff in the Swarashram area of Rishikesh, 1 km from Ram Jhula. This is the ashram where The Beatles lived in 1968 and wrote dozens of songs and meditated. The ashram complex houses a former temple, library, kitchen, home of Maharishi Yogi and meditation huts. Most of the buildings are in decay but there are colourful graffiti on the walls. There is also a small gallery and a cafe. "
Rishikesh, 9. Flying Fox ,, 9 out of 53  places to visit in Rishikesh , Flying Fox is an exciting adventure sports and top thrilling things to do in Rishikesh. You are harnessed to a rope and literally sent 'flying' on a cable. The speed is accelerated or slowed down through machinery.  
Rishikesh, 10. Bungee Jumping in Rishikesh ,4.0, 13 km  from city center ," One of the top exciting adventure sports in Rishikesh is Bungee Jumping. It involves jumping off from a very tall structure (usually a building), flying freely in the air in the air before being restrained and pulled up. This activity can also be carried out from hot air balloons or helicopters.   "
Rishikesh, 11. Tera Manzil Temple ,, 7 km  from city center ," Trimbakeshwar Temple or Tera Manzil Temple is the thirteen storey temple situated on the banks of Ganges. Located right opposite the Lakshman Jhula, it enshrine several deities under one roof. Popular for its striking architecture, the temple also offers panoramic landscape view from the top of its 13th floor. "
Rishikesh, 12. Camping at Kaudiyala ,3.3, 22 km  from city center ," At 380 m high, Kaudiyala is a popular rock climbing destination surrounded by dense forests. It also offers white river rafting tracks, and the sports is organized by the camping facilities around the place. "
