City,Place,Ratings,Distance,Place_desc
Shimla, 1. Ridge ,4.4, 0 km  from city center ," The Ridge is the most photographed wide-open street located on the side of Shimla Mall Road. The Ridge has everything, from shops selling some exclusive artefacts to the spectacular view of the snow-capped mountain ranges. It is famous for a lot of things, but best known for shopping and for being the social hub of the city. Shimla's rich past is evident from the Gothic buildings standing in this part of the town.  "
Shimla, 2. Mall Road ,3.9, 0 km  from city center ," Shopping in Shimla revolves around the heart of the town- The Mall Road. One can shop for local handicrafts, shawls, woolens, exquisite jewelry etc. here. "
Shimla, 3. Jakhoo Temple ,3.6, 1 km  from city center ," Set amidst the lush green background of the Shivalik hill ranges on Jakhoo Hill, the highest point in Shimla, the Jakhu Temple is an ancient site dedicated to the Hindu god - Hanuman. Jakhu Temple has the world's largest Hanuman statue, which is visible from most parts of Shimla.  "
Shimla, 4. Kufri ,3.6, 9 km  from city center ," Kufri, located at a distance of 16km from the main city of Shimla, is a popular tourist destination known for snow-laden peaks, skiing and Kufri Zoo.  Travellers have to either hike or take a pony from the parking lot to reach Kufri. Mahasu Peak and Fagu Valley are the main attractions in Kufri but are accessible via pony ride. You can also enjoy go-karting at the Kufri Fun World, which has the highest Go-Karting track in the world.
You can come back to the parking lot by a pony and head to the Indira Tourist Park by afternoon after grabbing some lunch. Or you can also head to Kufri Zoo from there. "
Shimla, 5. Toy Train to Kalka ,3.6, 3 km  from city center ," An enjoyable train ride through much of Kalka and Shimla and a little of what the British left behind, this is a must try experience, while here. This route is one of the most picturesque train routes in the world and it passes through more than a hundred tunnels It is a narrow gauge train route and it connects Kalka to Shimla. "
Shimla, 6. Green Valley ,3.8, 5 km  from city center ," The Green Valley is a beautiful and breathtaking mountain range that falls on the way to Kufri from Shimla. The Green Valley is surrounded by verdant hills on all sides covered with thick pine and deodar forests. It is not uncommon to sight some Yaks wandering and grazing around in the valley. The place is undeveloped for tourism, nevertheless, it continues to be a crowd puller and capture the attention of tourists with its dense deodar and pine trees that line the majestic hills. "
Shimla, 7. Chail ,3.6, 15 km  from city center ," This small village in Himachali is situated at a height of 2250 m above sea level and is known as a hiker's paradise. Surrounded by lush greenery and mesmerizing views from such a great height, Chail is bound to give a tourist a memorable travelling experience to a tourist. "
Shimla, 8. Visceral Lodge ,3.1, 1 km  from city center ," It is a perfect place for history lovers. Built in 1888, this six story building constructed in Scottish Baronial style once served as the residence of Lord Dufferin, the British Viceroy of India. "
Shimla, 9. Institute of Advanced Studies ,3.7, 3 km  from city center , The Indian Institute of Advanced Studies located on the Observatory Hill is a majestic structure made with Victorian-style architecture. It has now been converted into an educational institution which offer post-doctoral courses. 
Shimla, 10. Christ Church ,3.6, 0 km  from city center ," Located at the Mall Road itself, this church is the second oldest church in North India. The interiors and the neo-gothic architecture are very beautiful and appealing making this church one of the most important attractions in Shimla. "
