City,Place,Review,Rating,Name,Date,Raw_Review,Wheelchair Accessibility,Visual Impairments,Mobility Impairments,Hearing Impairments
New Delhi,Swaminarayan Akshardham,beautiful building size impressive spend hours wandering boat tour yes underground boat tour tells history india,5,Anonymous,,"Beautiful building, its size is impressive. spend a few hours wandering around. take the boat tour, Yes, there is an underground boat tour which tells you the history of India !",1.0,1.0,1.0,1.0
New Delhi,Lodhi Garden,garden true beauty heart delhi kept truly pleasure eyes enjoy unfortunately harassed creepy individuals resist girl,5,Anonymous,,This garden is a true beauty in the heart of Delhi. Very well kept and truly a pleasure on the eyes....however I could not enjoy it to the full as unfortunately I was harassed by some creepy individuals who could not resist a girl alone...,1.0,1.0,1.0,1.0
New Delhi,Red Fort (Lal Quila),tuktuk car park entrance gate cost rp way beautiful gardens indian historical museums red fort borrowed english audio guide helpful understand history,5,Anonymous,,"You can take a tuktuk from car park to the entrance gate, which cost 10rp for one way. There are some beautiful gardens and Indian historical museums in Red Fort. I borrowed an English audio guide, which was helpful to understand its history.",0.5,0.5,0.5,1.0
New Delhi,Red Fort (Lal Quila),visited fort visit taj mahal guide got amin tours knowledgable excellent photographer great bonus,5,Anonymous,,We visited the fort after our visit to The Taj Mahal........ We had our guide who we had got from Amin Tours. He was very knowledgable and an excellent photographer...which was a great bonus!,0.5,0.5,0.5,1.0
New Delhi,Qutub Minar,qutub minar beautiful hand carved tower built mughuls delhi mark victory hindu opposition love message tower absolutely stunning located park ruins quick trip,5,Anonymous,,"Qutub Minar is a beautiful hand carved tower built by the Mughuls in Delhi to mark their victory over Hindu opposition. While one may not love the message, the tower is absolutely Stunning and it's located in park with other ruins. It's a quick trip...",0.5,0.5,0.5,1.0
New Delhi,Delhi Airport Metro Express,traveling new delhi railway station dwarka price high comfort zero chaos best interior metro train lyk airplane,4,Anonymous,,"traveling from new Delhi railway station to dwarka at such a less price, high comfort,zero chaos is best.
The interior of the metro train be lyk an airplane.",1.0,1.0,1.0,1.0
New Delhi,India Gate,cold day delhi misty really bucket list thing photographer pic aces clear precise shot gate worth,4,Anonymous,,"A cold day in Delhi. So it was misty.Really not much to do or see. It's a ""bucket list"" thing to do.Get a photographer to take your pic, they're aces at what they do. A clear precise shot of you and the gate, it's  worth...",1.0,1.0,1.0,1.0
New Delhi,Hauz Khas Village,excellent hangout place lot options selection indian pakistani italian oriental place fort lake great,5,Anonymous,,"Excellent hangout place. Lot of options for selection, Indian,Pakistani, Italian, oriental & what not in one place. The fort, lake behind  is great.",0.5,0.5,0.5,1.0
New Delhi,Gurudwara Bangla Sahib,like going religious places visit gurudwara delhi fishes sarovar eat food free langar pray wander cp,5,Anonymous,,"If you like going to religious places, this is a must-visit gurudwara in Delhi. Go there, see fishes in the sarovar, eat food for free in langar, pray and then wander in CP.",1.0,1.0,1.0,1.0
New Delhi,Chandni Chowk,catch metro yellow line chandni chowk lose labyrinth small lanes alleys fabric sari paradise great little place lane looks like seats people,5,Anonymous,,Catch the Metro (yellow line) to Chandni Chowk and lose yourself in the labyrinth of small lanes and alleys.  It is a fabric and sari paradise.  There is a great little place down a lane that looks like it seats about 12 - 16 people....,0.0,0.0,0.0,1.0
New Delhi,Lotus Temple,constructed look like lotus outside inside deep great piece art new delhi,5,Anonymous,,"It so well constructed that it will look like a lotus first from outside and inside you go and it is very deep, another great piece of art in New Delhi.",1.0,0.5,1.0,1.0
New Delhi,Chandni Chowk,interesting crowded crazy great area shopping touts hassle like india,5,Anonymous,,"Interesting, crowded and crazy. Great area for shopping but touts are a hassle, just like anywhere in India.",0.0,0.0,0.0,1.0
New Delhi,Swaminarayan Akshardham,spectacular sight beauty temple surrounding described words like painting canvas crowd place peaceful relaxing soul light,5,Anonymous,,"What a spectacular sight.... The beauty of this temple and its surrounding can not be described in words. Its just like a painting on a canvas.

Even after so much of crowd, this place is yet very peaceful and relaxing for your soul. The light...",1.0,1.0,1.0,1.0
New Delhi,Humayun's Tomb,thanks renovation carried aga khan foundation best tomb mughal period visit,5,Anonymous,,"Thanks to the renovation carried out by the Aga Khan Foundation, this is the best tomb from the Mughal period to visit.",1.0,0.5,1.0,1.0
New Delhi,Qutub Minar,beautiful easier reach metro good place visit come delhi facilities getting better,5,Anonymous,,Beautiful. Now easier to reach here due to metro. Good place. Must to visit. If you come to Delhi. Facilities are getting better.,0.5,0.5,0.5,1.0
New Delhi,Hauz Khas Village,visited truly loved place buildings relatively good shape interesting read information boards displayed close come early guess,5,Anonymous,,I visited only once but I truly loved the place! The buildings are in a relatively good shape and it is interesting to read about each of them on the information boards displayed close to them. If you come early I guess you can even...,0.5,0.5,0.5,1.0
New Delhi,Swaminarayan Akshardham,place words explain express craftmanshif amaizing eyes believe dont foget complete tour place watch musical fountain,3,Anonymous,,A must to go place.. something that words cannot explain or express... The craftmanshif is amaizing... one must see with his own eyes to believe it.... Dont foget to take the complete tour of the place also to watch the musical fountain.,1.0,1.0,1.0,1.0
New Delhi,India Gate,visited delhi times past time able stop walk india gate wonderful site slightly marred number hawkers beggars vicinity pleased,4,Anonymous,,"Although we have visited Delhi a few times in the past, this was the first time that we were able to stop and walk to the India Gate. A wonderful site but slightly marred by the number of hawkers and beggars in the vicinity. Pleased...",1.0,1.0,1.0,1.0
New Delhi,Gurudwara Bangla Sahib,gone october friends reaching easy water pool really attractive sikh people believe wish definitely fulfilled sikh guru,5,Anonymous,,I gone there in october in 2015 with my friends. Reaching there is easy and water pool is really attractive. Sikh people believe that their wish will definitely be fulfilled by Sikh Guru.,1.0,1.0,1.0,1.0
New Delhi,Humayun's Tomb,th century architectural marvel commissioned humayun wife bega begum interested history visiting delhi calm beautiful place especially weekdays best time visit,5,Anonymous,,"This 16th century architectural marvel was commissioned by Humayun's first wife Bega Begum. It is a must see for anyone who is interested in history or is visiting delhi. Very calm and beautiful place, especially on weekdays. The best time to visit will be between...",1.0,0.5,1.0,1.0
New Delhi,Qutub Minar,qutub minar known tourist spot south new delhi developed sultan iltutmish qutub ud din aibak awesome place visit visit cheapest transportation catch yellow line metro rajiv chowk,4,Anonymous,,Qutub Minar is the well known tourist spot in south of New delhi developed by sultan Iltutmish for Qutub Ud din Aibak and awesome place to visit once. How to visit? The cheapest transportation is catch the yellow line metro from Rajiv Chowk,0.5,0.5,0.5,1.0
New Delhi,Connaught Place,travelled world used wits place relentless western branches shops nike reebok india prices similar,3,Anonymous,,I have travelled the world and am used to having my wits about me but this place was relentless.  There were western branches of shops such as Nike and Reebok which I did not find elsewhere in India but prices were very similar to those...,1.0,1.0,1.0,1.0
New Delhi,Humayun's Tomb,went place yesterday th time everytime feel yes maintained heritage tourist site india,4,Anonymous,,Went to this place yesterday for the 7th time and everytime I go here I always feel that yes this is one one of the most maintained heritage tourist site of India,1.0,0.5,1.0,1.0
New Delhi,Lotus Temple,best place visit looking peace complete silence amidst busy constantly noisy honking streets delhi place falls apart rest crowded public places,5,Anonymous,,This is one of the best place to visit if you are looking for peace and complete silence amidst busy and constantly noisy and ever honking streets of Delhi. This place falls apart from rest of the crowded public places.,1.0,0.5,1.0,1.0
New Delhi,Qutub Minar,college near place located near qutub minar metro station walking property people footfall summers recommend u guys sunglasses umbrellas hot,4,Anonymous,,My college is very near to this place. Located very near to qutub minar metro station. Just walking. This property has 1000s of people footfall. In summers I recommend u guys to take sunglasses and umbrellas it's get too hot.,0.5,0.5,0.5,1.0
New Delhi,Delhi Airport Metro Express,world class standards prompt disembarkation fast baggage arrival belts clean swachh,4,Anonymous,,"It is world class by any standards. Prompt disembarkation, fast baggage arrival at the belts, clean and ""swachh"".",1.0,1.0,1.0,1.0
New Delhi,Swaminarayan Akshardham,th century religious temple wonderfully ornate true ancient carvings worth visit visiting new delhi history buffs temple new carvings look mass produced appear country,5,Anonymous,,"This 20th Century Religious Temple is wonderfully ornate, true to ancient carvings, and worth the visit if you are only visiting New Delhi.  For those of us history buffs, this temple has all new carvings, (many look mass produced) which appear throughout the country in...",1.0,1.0,1.0,1.0
New Delhi,India Gate,historic place visit delhi try visit weekdays afternoon crowd clear views walk rajpath india gate night lights lit awesome views,5,Anonymous,,"An historic place, must to visit when in Delhi.
Try to visit on weekdays afternoon for less crowd and clear views. Can walk from Rajpath towards india gate, also at night when lights are lit awesome views!!!!",1.0,1.0,1.0,1.0
New Delhi,Chandni Chowk,amazing way witness incredible india diving straight old delhi chandni chowk market able cheap jewelry fabrics experience sights sounds smells like,5,Anonymous,,What an amazing way to witness incredible India by diving straight into Old Delhi's Chandni Chowk Market. There you will be able to by cheap jewelry and fabrics etc but also experience sights and sounds and smells like never before.,0.0,0.0,0.0,1.0
New Delhi,Delhi Airport Metro Express,convienent travel different locations airport travelled airport metro station new delhi railway station taken token metro station trains available frequently information metro trains route fare available station,3,Anonymous,,"Convienent to travel to different locations from airport.We have travelled in airport metro station to new delhi railway station in this.We have taken token from the metro station and trains are available frequently.Information about the metro trains ,route and fare is available in the station",1.0,1.0,1.0,1.0
New Delhi,Qutub Minar,marvelous beautiful visit wonderful place indian history kept tourist nationals visit,5,Anonymous,,"All is marvelous and beautiful.
You have to go and visit this wonderful place of Indian history.
It is very well kept and tourist and nationals visit .",0.5,0.5,0.5,1.0
New Delhi,Gurudwara Bangla Sahib,peaceful place visit seek solace maintained looked conveniently located easily accessible,4,Anonymous,,peaceful place to visit. and seek solace. Its well maintained and looked after. conveniently located and easily accessible,1.0,1.0,1.0,1.0
New Delhi,Connaught Place,great mix shops restaurants sights series concentric circle roads huge indian flag middle place busy alive worth visit shopping coffee lunch dinner close janpath,5,Anonymous,,"A great mix of shops, restaurants and sights. A series of concentric circle roads with the huge Indian flag in the middle this place is always busy and alive. Well worth a visit for shopping, coffee, lunch or dinner.  Also close to Janpath with all...",1.0,1.0,1.0,1.0
New Delhi,Delhi Airport Metro Express,airport metro express excellent idea eventhough ticket bit higher routes worth trains different metro lines premium feeling apart reduces travel duration,4,Anonymous,,"The Airport Metro Express is an excellent idea. Eventhough the ticket is a bit higher than other routes, it is worth it as the trains are different than the other metro lines and give a premium feeling. Apart from this,it also reduces the travel duration....",1.0,1.0,1.0,1.0
